municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at,pair_set
41110,41110::hospital::003,41110::hospital::001,18.016666666666666,1081,7872,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:50.886118+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::hospital::002,24.55,1473,7906,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:51.315887+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::hospital::004,21.533333333333335,1292,7200,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:51.680857+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::hospital::005,19.95,1197,6614,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:52.037163+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::hospital::006,31.116666666666667,1867,10399,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:52.539408+00:00,unknown_before_pair_set_column
41110,41110::hospital::003,41110::hospital::007,4.683333333333334,281,1408,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:52.825607+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::001,24.083333333333332,1445,7839,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:53.195542+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::002,10.466666666666667,628,2850,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:53.495664+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::003,13.016666666666667,781,4357,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:53.860115+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::004,19.4,1164,4981,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:54.215155+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::005,23.0,1380,7512,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:54.588592+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::006,22.233333333333334,1334,7306,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:54.960631+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::007,14.95,897,4716,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:55.287978+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::008,8.716666666666667,523,1939,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:55.582602+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::009,17.266666666666666,1036,3717,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:55.911781+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::010,5.65,339,1403,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:56.214656+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::ambulance_base::011,27.483333333333334,1649,8182,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:56.600330+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::hospital::001,19.05,1143,4780,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:56.947706+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::hospital::002,4.866666666666666,292,1112,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:57.239055+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::hospital::003,21.833333333333332,1310,7496,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:57.610871+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::hospital::005,10.116666666666667,607,1983,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:57.928227+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::hospital::006,13.0,780,3346,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:58.226582+00:00,unknown_before_pair_set_column
41110,41110::hospital::004,41110::hospital::007,18.983333333333334,1139,6464,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:58.579616+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::001,21.416666666666668,1285,6218,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:58.986831+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::002,12.9,774,3682,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:59.296776+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::003,15.066666666666666,904,4951,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:59.630591+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::004,19.166666666666668,1150,6452,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:13:59.988219+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::005,22.166666666666668,1330,8559,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:14:00.407254+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::006,16.233333333333334,974,6108,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:14:00.783036+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::007,9.816666666666666,589,2742,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:14:01.089190+00:00,unknown_before_pair_set_column
41110,41110::hospital::005,41110::ambulance_base::008,8.383333333333333,503,2063,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:14:01.394925+00:00,unknown_before_pair_set_column
