municipality_code,staged_hospital_name,egen_institution_name,egen_institution_code,emergency_institution_type,overall_grade,mandatory_area_result,emergency_physician_grade,emergency_specialist_grade,emergency_nurse_grade,physician_specialty_grade,nurse_specialty_grade,bed_saturation_grade,severe_patient_length_of_stay_grade,long_stay_patient_index_grade,timely_specialist_direct_care_grade,definitive_treatment_provision_grade,regional_119_transfer_acceptance_share_grade,evaluation_year,match_score,match_review_required
41190,순천향대부속부천병원,순천향대학교부속부천병원,A2100005,권역응급의료센터,A,PASS,(해당없음),2,1,(해당없음),(해당없음),1,2,(해당없음),1,1,2,2024,0.909091,False
41210,광명성애병원,광명성애병원,A2100007,지역응급의료센터,B,PASS,1,1,2,(해당없음),(해당없음),1,1,(해당없음),1,4,3,2024,1.0,False
41210,중앙대광명병원,중앙대학교광명병원,A2118788,지역응급의료센터,A,PASS,1,1,2,(해당없음),(해당없음),1,1,(해당없음),1,1,2,2024,0.875,False
41220,굿모닝병원,의료법인백송의료재단굿모닝병원,A2100028,지역응급의료센터,A,PASS,2,1,2,(해당없음),(해당없음),1,1,(해당없음),1,1,2,2024,1.0,False
41220,박병원,의료법인갈렌의료재단박병원,A2100309,지역응급의료기관,C,FAIL,1,1,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41220,박애병원,의료법인박애의료재단박애병원,A2100022,지역응급의료기관,A,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41220,평택성모병원,의료법인양진의료재단평택성모병원,A2113246,지역응급의료센터,C,FAIL,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41270,고려대안산병원,고려대학교의과대학부속안산병원,A2100003,권역응급의료센터,B,PASS,(해당없음),2,1,(해당없음),(해당없음),1,3,(해당없음),1,1,2,2024,0.636364,True
41270,근로복지공단안산병원,근로복지공단안산병원,A2100014,지역응급의료기관,B,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41270,대야의료재단한도병원,대아의료재단한도병원,A2100017,지역응급의료센터,C,FAIL,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,0.9,False
41270,사랑의병원,의료법인칠석의료재단사랑의병원,A2100124,지역응급의료기관,B,PASS,1,1,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41270,플러스의료재단 단원병원,의료법인플러스의료재단단원병원,A2100021,지역응급의료기관,B,PASS,3,3,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41280,국립암센터,국립암센터,A2100049,지역응급의료기관,C,FAIL,1,3,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41280,국민건강보험공단일산병원,국민건강보험공단일산병원,A2100033,권역응급의료센터,B,PASS,(해당없음),2,1,(해당없음),(해당없음),1,3,(해당없음),1,1,3,2024,1.0,False
41280,더자인병원,순천의료재단정병원,A2100016,지역응급의료기관,B,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,0.4,True
41280,동국대일산불교병원,동국대학교일산불교병원,A2100047,지역응급의료센터,A,PASS,2,2,1,(해당없음),(해당없음),1,1,(해당없음),1,1,2,2024,0.9,False
41280,명지병원,의료법인명지의료재단명지병원,A2100042,권역응급의료센터,B,PASS,(해당없음),1,2,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41280,인제대일산백병원,인제대학교일산백병원,A2100038,지역응급의료센터,B,PASS,2,2,1,(해당없음),(해당없음),1,3,(해당없음),2,1,1,2024,0.888889,False
41280,일산차병원,의료법인성광의료재단일산차병원,A2116972,지역응급의료기관,C,FAIL,4,3,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41310,한양대구리병원,한양대학교구리병원,A2100039,지역응급의료센터,A,PASS,2,2,1,(해당없음),(해당없음),1,1,(해당없음),1,2,1,2024,0.875,False
41360,남양주한양병원,남양주한양병원,A2100041,지역응급의료센터,B,PASS,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,2,3,2024,1.0,False
41360,칠석의료재단 엘병원,엘병원,A2118188,지역응급의료기관,A,PASS,1,1,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41360,현대병원,현대병원,A2100037,지역응급의료센터,C,FAIL,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41370,오산한국병원,오산한국병원,A2100024,지역응급의료센터,B,PASS,1,1,2,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41390,센트럴병원,의료법인석경의료재단센트럴병원,A2100027,지역응급의료기관,A,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41390,시화병원,의료법인남촌의료재단시화병원,A2100008,지역응급의료센터,A,PASS,2,1,2,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41390,신천연합병원,의료법인녹향의료재단신천연합병원,A2100013,지역응급의료기관,B,PASS,2,1,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41410,원광대 산본병원,원광대학교산본병원,A2100048,지역응급의료센터,B,PASS,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,2,4,2024,0.875,False
41410,지샘병원,효산의료재단지샘병원,A2100054,지역응급의료센터,B,PASS,1,1,2,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41460,강남병원,강남병원,A2100029,지역응급의료센터,B,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,3,4,2024,1.0,False
41460,메디필드한강병원,화성디에스병원,A2116761,지역응급의료기관,B,PASS,2,1,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,0.4,True
41460,명주병원,명주병원,A2119056,지역응급의료센터,C,FAIL,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41460,용인세브란스병원,연세대학교의과대학용인세브란스병원,A2100020,지역응급의료센터,A,PASS,2,1,1,(해당없음),(해당없음),1,1,(해당없음),1,1,2,2024,1.0,False
41460,효심의료재단용인서울병원,(의)효심의료재단용인서울병원,A2100122,지역응급의료기관,B,PASS,1,3,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41480,경기도의료원 파주병원,경기도의료원파주병원,A2100035,지역응급의료센터,B,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,4,4,2024,1.0,False
41480,메디인병원,메디인병원,A2100131,지역응급의료기관,B,PASS,2,1,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41500,경기도의료원 이천병원,경기도의료원이천병원,A2100193,지역응급의료센터,B,PASS,2,1,1,(해당없음),(해당없음),1,1,(해당없음),1,4,3,2024,1.0,False
41550,경기도의료원 안성병원,경기도의료원안성병원,A2100045,지역응급의료기관,A,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41550,안성성모병원,안성성모병원,A2100305,지역응급의료기관,A,PASS,1,1,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41570,김포우리병원,의료법인우리의료재단김포우리병원,A2100053,지역응급의료센터,A,PASS,2,1,1,(해당없음),(해당없음),1,1,(해당없음),1,1,2,2024,1.0,False
41570,뉴고려병원,의료법인인봉의료재단뉴고려병원,A2100006,지역응급의료센터,B,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41590,원광종합병원,의료법인원광의료재단원광종합병원,A2115699,지역응급의료기관,C,FAIL,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41590,한림대동탄성심병원,한림대학교동탄성심병원,A2100046,지역응급의료센터,A,PASS,2,2,1,(해당없음),(해당없음),1,1,(해당없음),1,1,1,2024,0.9,False
41590,화성중앙종합병원,의료법인은혜와감사의료재단화성중앙종합병원,A2100018,지역응급의료기관,C,PASS,3,4,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41610,참조은병원,참조은병원,A2100155,지역응급의료센터,A,PASS,2,1,3,(해당없음),(해당없음),1,1,(해당없음),1,2,2,2024,1.0,False
41650,경기도의료원 포천병원,경기도의료원포천병원,A2100031,지역응급의료센터,B,PASS,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,4,4,2024,1.0,False
41650,일심의료재단 우리병원,의료법인일심의료재단우리병원,A2100036,지역응급의료기관,C,PASS,2,1,5,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41670,세종여주병원,세종여주병원,A2100194,지역응급의료기관,B,PASS,2,2,5,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41800,연천군보건의료원,연천군보건의료원,E2100187,지역응급의료기관,B,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41830,양평병원,양평병원,A2100089,지역응급의료기관,C,PASS,5,5,5,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
