시군명,병원명/센터명,업무구분명,대표전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도
성남시,분당차병원,권역응급의료센터,780-5000,경기도 성남시 분당구 야탑로 59,경기도 성남시 분당구 야탑동 351번지,13496,37.4104664000,127.1258348000
안산시,사랑의병원,지역응급의료기관,439-3000,경기도 안산시 상록구 예술광장로 69,경기도 안산시 상록구 성포동 593-4번지,15291,37.3269215000,126.8449233000
성남시,성남시의료원,지역응급의료센터,738-7801,경기도 성남시 수정구 수정로171번길 10,경기도 성남시 수정구 태평동 3309번지,13290,37.4448498000,127.1390489000
성남시,성남정병원,지역응급의료기관,750-6000,경기도 성남시 수정구 수정로 76,경기도 성남시 수정구 수진동 2968번지,13316,37.4398522000,127.1290120000
수원시,성빈센트병원,지역응급의료센터,1577-8588,경기도 수원시 팔달구 중부대로 93,경기도 수원시 팔달구 지동 93-6번지,16247,37.2778994000,127.0274529000
여주시,세종여주병원,지역응급의료기관,880-7700,경기도 여주시 청심로 47,경기도 여주시 하동 435-2번지,12618,37.3013277000,127.6267042000
시흥시,센트럴병원,지역응급의료기관,1588-9339,경기도 시흥시 공단1대로 237,경기도 시흥시 정왕동 1366-11번지,15079,37.3368704000,126.7279758000
수원시,수원윌스기념병원,지역응급의료기관,223-2233,경기도 수원시 팔달구 경수대로 437,경기도 수원시 팔달구 인계동 994-3번지,16480,37.2653173000,127.0255465000
부천시,순천향대부속부천병원,권역응급의료센터,032-621-5114,경기도 부천시 원미구 조마루로 170,경기도 부천시 원미구 중동 1174번지,14584,37.4983685000,126.7621105000
시흥시,시화병원,지역응급의료센터,1811-7000,경기도 시흥시 군자천로 381,경기도 시흥시 정왕동 1842-3번지,15034,37.3499087000,126.7370103000
시흥시,신천연합병원,지역응급의료기관,310-6300,경기도 시흥시 복지로 57,경기도 시흥시 대야동 469-3번지,14905,37.4445266000,126.7893756000
수원시,아주대학교병원,권역응급의료센터,1688-6114,경기도 수원시 영통구 월드컵로 164,경기도 수원시 영통구 원천동 산26-6번지,16499,37.2793432000,127.0463045000
안성시,안성성모병원,지역응급의료기관,675-6007,경기도 안성시 시장길 58,경기도 안성시 서인동 14번지,17592,37.0058059000,127.2707076000
안양시,안양샘병원,지역응급의료센터,467-9114,경기도 안양시 만안구 삼덕로 9,경기도 안양시 만안구 안양동 613-6번지,14030,37.3928939000,126.9248195000
양평군,양평병원,지역응급의료기관,770-5000,경기도 양평군 양평읍 중앙로 129,경기도 양평군 양평읍 공흥리 316-2번지,12550,37.4939488000,127.5034843000
연천군,연천군보건의료원,지역응급의료기관,839-4001,경기도 연천군 전곡읍 은대성로 95,경기도 연천군 전곡읍 은대리 577-36번지,11027,38.0233168000,127.0609876000
오산시,오산한국병원,지역응급의료센터,379-8300,경기도 오산시 밀머리로1번길 16,경기도 오산시 원동 560-70번지,18144,37.1412846000,127.0755950000
용인시,용인세브란스병원,지역응급의료센터,5189-8511,경기도 용인시 기흥구 동백죽전대로 363,경기도 용인시 기흥구 중동 1151번지,16995,37.2707754000,127.1482844000
군포시,원광대 산본병원,지역응급의료센터,390-2300,경기도 군포시 산본로 321,경기도 군포시 산본동 1142번지,15865,37.3594142000,126.9336007000
화성시,원광종합병원,지역응급의료기관,8077-7200,경기도 화성시 화산북로 21,경기도 화성시 송산동 200-4번지,18356,37.2100622000,127.0080299000
수원시,의료법인덕산의료재단 수원덕산병원,지역응급의료기관,868-2119,경기도 수원시 권선구 서부로 1674(고색동),경기도 수원시 권선구 고색동 894-119,16623,37.2586298000,126.9745029000
의정부시,의정부백병원,지역응급의료기관,856-8111,경기도 의정부시 금신로 322,경기도 의정부시 신곡동 519-11번지,11778,37.7453057000,127.0621355000
의정부시,의정부을지대학교병원,지역응급의료센터,1899-0001,경기도 의정부시 동일로 712,경기도 의정부시 금오동 489번지,11759,37.7534456000,127.0504065000
고양시,인제대일산백병원,지역응급의료센터,910-7114,경기도 고양시 일산서구 주화로 170,경기도 고양시 일산서구 대화동 2240번지,10380,37.6742710000,126.7503817000
고양시,일산차병원,지역응급의료기관,782-8300,경기도 고양시 일산동구 중앙로 1205,경기도 고양시 일산동구 장항동 889번지,10414,37.6541226000,126.7757402000
포천시,일심의료재단 우리병원,지역응급의료기관,542-0222,경기도 포천시 소흘읍 호국로 661,경기도 포천시 소흘읍 송우리 116-11번지,11174,37.8274877000,127.1481359000
광명시,중앙대광명병원,지역응급의료센터,1811-7800,경기도 광명시 덕안로 110,경기도 광명시 일직동 501번지,14353,37.4245797000,126.8859245000
군포시,지샘병원,지역응급의료센터,389-3000,경기도 군포시 군포로 591,경기도 군포시 당동 730번지,15839,37.3586407000,126.9473038000
광주시,참조은병원,지역응급의료센터,1600-9955,경기도 광주시 광주대로 45,경기도 광주시 경안동 20-61번지,12756,37.4109140000,127.2599526000
의정부시,추병원,지역응급의료기관,845-7777,경기도 의정부시 평화로 650,경기도 의정부시 의정부동 234-2번지,11686,37.7497753000,127.0452071000
남양주시,칠석의료재단 엘병원,지역응급의료기관,1899-3377,경기도 남양주시 퇴계원읍 퇴계원로 20,경기도 남양주시 퇴계원읍 퇴계원리 218-20번지,12122,37.6487786000,127.1411136000
평택시,평택성모병원,지역응급의료센터,1800-8800,경기도 평택시 평택로 284,경기도 평택시 세교동 439-3번지,17825,37.0083742000,127.0743680000
안산시,플러스의료재단 단원병원,지역응급의료기관,8040-6600,경기도 안산시 단원구 원포공원1로 20,경기도 안산시 단원구 초지동 745-2번지,15457,37.3002144000,126.8132684000
화성시,한림대동탄성심병원,지역응급의료센터,8086-3000,경기도 화성시 큰재봉길 7,경기도 화성시 석우동 40번지,18450,37.2164957000,127.0799416000
안양시,한림대성심병원,권역응급의료센터,380-1500,경기도 안양시 동안구 관평로170번길 22,경기도 안양시 동안구 평촌동 896번지,14068,37.3916536000,126.9619737000
구리시,한양대구리병원,지역응급의료센터,1644-9118,경기도 구리시 경춘로 153,경기도 구리시 교문동 249-1번지,11923,37.6011883000,127.1325173000
남양주시,현대병원,지역응급의료센터,574-9119,경기도 남양주시 진접읍 장현로 52,경기도 남양주시 진접읍 장현리 663번지,12013,37.7156786000,127.1796858000
화성시,화성중앙종합병원,지역응급의료기관,352-8114,경기도 화성시 향남읍 발안로 5,경기도 화성시 향남읍 평리 74-1번지,18592,37.1313495000,126.9107734000
용인시,효심의료재단용인서울병원,지역응급의료기관,337-0114,경기도 용인시 처인구 고림로 81,경기도 용인시 처인구 고림동 787-1번지,17148,37.2403149000,127.2144834000

