"행정구역","2026년08월_총인구수","2026년08월_세대수","2026년08월_세대당 인구","2026년08월_남자 인구수","2026년08월_여자 인구수","2026년08월_남여 비율"
"서울특별시 중랑구 면목제2동(1126052000)","22,841","12,057","          1.89","11,338","11,503","          0.99"
"서울특별시 중랑구 면목제4동(1126054000)","17,441","8,926","          1.95","8,644","8,797","          0.98"
"서울특별시 중랑구 면목제5동(1126055000)","13,744","6,182","          2.22","6,803","6,941","          0.98"
"서울특별시 중랑구 면목본동(1126056500)","31,469","17,722","          1.78","15,483","15,986","          0.97"
"서울특별시 중랑구 면목제7동(1126057000)","20,408","10,510","          1.94","10,088","10,320","          0.98"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,347","12,693","          1.84","11,486","11,861","          0.97"
"서울특별시 중랑구 상봉제1동(1126058000)","22,733","10,352","          2.20","10,961","11,772","          0.93"
"서울특별시 중랑구 상봉제2동(1126059000)","21,964","14,094","          1.56","10,285","11,679","          0.88"
"서울특별시 중랑구 중화제1동(1126060000)","17,835","8,764","          2.04","8,789","9,046","          0.97"
"서울특별시 중랑구 중화제2동(1126061000)","25,574","14,388","          1.78","12,922","12,652","          1.02"
"서울특별시 중랑구 묵제1동(1126062000)","33,173","15,179","          2.19","15,687","17,486","          0.90"
"서울특별시 중랑구 묵제2동(1126063000)","17,471","9,173","          1.90","8,494","8,977","          0.95"
"서울특별시 중랑구 망우본동(1126065500)","37,949","18,831","          2.02","18,598","19,351","          0.96"
"서울특별시 중랑구 망우제3동(1126066000)","15,157","8,281","          1.83","7,578","7,579","          1.00"
"서울특별시 중랑구 신내1동(1126068000)","36,551","14,752","          2.48","17,529","19,022","          0.92"
"서울특별시 중랑구 신내2동(1126069000)","18,847","8,840","          2.13","8,865","9,982","          0.89"
"서울특별시 성북구 (1129000000)","421,106","199,768","          2.11","200,771","220,335","          0.91"
"서울특별시 성북구 성북동(1129052500)","15,514","8,052","          1.93","7,139","8,375","          0.85"
"서울특별시 성북구 삼선동(1129055500)","21,504","11,468","          1.88","10,088","11,416","          0.88"
"서울특별시 성북구 동선동(1129057500)","14,922","9,950","          1.50","5,925","8,997","          0.66"
"서울특별시 성북구 돈암제1동(1129058000)","13,638","6,000","          2.27","6,317","7,321","          0.86"
"서울특별시 성북구 돈암제2동(1129059000)","22,770","8,519","          2.67","10,754","12,016","          0.89"
"서울특별시 성북구 안암동(1129060000)","15,564","10,506","          1.48","7,804","7,760","          1.01"
"서울특별시 성북구 보문동(1129061000)","15,611","8,055","          1.94","7,457","8,154","          0.91"
"서울특별시 성북구 정릉제1동(1129062000)","17,433","7,346","          2.37","8,315","9,118","          0.91"
"서울특별시 성북구 정릉제2동(1129063000)","21,380","9,504","          2.25","10,185","11,195","          0.91"
"서울특별시 성북구 정릉제3동(1129064000)","13,822","7,961","          1.74","6,775","7,047","          0.96"
"서울특별시 성북구 정릉제4동(1129065000)","23,347","10,766","          2.17","11,051","12,296","          0.90"
"서울특별시 성북구 길음제1동(1129066000)","35,319","12,794","          2.76","16,714","18,605","          0.90"
"서울특별시 성북구 길음제2동(1129068500)","21,369","8,649","          2.47","10,176","11,193","          0.91"
"서울특별시 성북구 종암동(1129070500)","36,618","17,212","          2.13","17,989","18,629","          0.97"
"서울특별시 성북구 월곡제1동(1129071500)","24,355","10,579","          2.30","11,690","12,665","          0.92"
"서울특별시 성북구 월곡제2동(1129072500)","18,370","9,645","          1.90","8,660","9,710","          0.89"
"서울특별시 성북구 장위제1동(1129076000)","22,459","10,593","          2.12","10,944","11,515","          0.95"
"서울특별시 성북구 장위제2동(1129077000)","15,636","7,813","          2.00","7,647","7,989","          0.96"
"서울특별시 성북구 장위제3동(1129078000)","18,740","7,685","          2.44","9,135","9,605","          0.95"
"서울특별시 성북구 석관동(1129081000)","32,735","16,671","          1.96","16,006","16,729","          0.96"
"서울특별시 강북구 (1130500000)","277,509","142,743","          1.94","133,228","144,281","          0.92"
"서울특별시 강북구 삼양동(1130553400)","24,161","11,701","          2.06","11,865","12,296","          0.96"
"서울특별시 강북구 미아동(1130553500)","20,093","11,818","          1.70","9,571","10,522","          0.91"
"서울특별시 강북구 송중동(1130554500)","27,132","13,536","          2.00","12,906","14,226","          0.91"
"서울특별시 강북구 송천동(1130555500)","22,652","12,125","          1.87","11,112","11,540","          0.96"
"서울특별시 강북구 삼각산동(1130557500)","29,798","11,530","          2.58","14,231","15,567","          0.91"
"서울특별시 강북구 번1동(1130559500)","15,876","9,652","          1.64","7,796","8,080","          0.96"
"서울특별시 강북구 번2동(1130560300)","14,115","7,359","          1.92","6,716","7,399","          0.91"
"서울특별시 강북구 번3동(1130560800)","15,273","7,500","          2.04","7,017","8,256","          0.85"
"서울특별시 강북구 수유1동(1130561500)","19,226","10,480","          1.83","9,405","9,821","          0.96"
"서울특별시 강북구 수유2동(1130562500)","19,744","9,668","          2.04","9,317","10,427","          0.89"
"서울특별시 강북구 수유3동(1130563500)","22,223","13,607","          1.63","10,711","11,512","          0.93"
"서울특별시 강북구 우이동(1130564500)","19,344","9,672","          2.00","9,181","10,163","          0.90"
"서울특별시 강북구 인수동(1130566000)","27,872","14,095","          1.98","13,400","14,472","          0.93"
"서울특별시 도봉구 (1132000000)","297,820","139,194","          2.14","143,615","154,205","          0.93"
"서울특별시 도봉구 창제1동(1132051100)","22,562","10,557","          2.14","10,677","11,885","          0.90"
"서울특별시 도봉구 창제2동(1132051200)","27,407","12,760","          2.15","13,208","14,199","          0.93"
"서울특별시 도봉구 창제3동(1132051300)","12,506","6,327","          1.98","6,240","6,266","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","25,798","11,298","          2.28","12,260","13,538","          0.91"
"서울특별시 도봉구 창제5동(1132051500)","23,236","10,356","          2.24","10,997","12,239","          0.90"
"서울특별시 도봉구 도봉제1동(1132052100)","19,293","10,251","          1.88","9,665","9,628","          1.00"
"서울특별시 도봉구 도봉제2동(1132052200)","25,671","11,902","          2.16","12,416","13,255","          0.94"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,459","9,791","          2.09","9,697","10,762","          0.90"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,208","8,421","          2.04","8,212","8,996","          0.91"
"서울특별시 도봉구 쌍문제3동(1132068000)","15,843","8,205","          1.93","7,548","8,295","          0.91"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,522","7,102","          2.47","8,239","9,283","          0.89"
"서울특별시 도봉구 방학제1동(1132069000)","27,721","13,262","          2.09","13,660","14,061","          0.97"
"서울특별시 도봉구 방학제2동(1132070000)","17,385","9,036","          1.92","8,702","8,683","          1.00"
"서울특별시 도봉구 방학제3동(1132071000)","25,209","9,926","          2.54","12,094","13,115","          0.92"
"서울특별시 노원구 (1135000000)","480,045","217,433","          2.21","229,266","250,779","          0.91"
