municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at
41220,41220::hospital::002,41220::hospital::001,21.933333333333334,1316,10299,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:10.424330+00:00
41220,41220::hospital::002,41220::hospital::003,19.666666666666668,1180,8388,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:10.772427+00:00
41220,41220::hospital::002,41220::hospital::004,11.0,660,5036,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:11.112957+00:00
41220,41220::hospital::003,41220::ambulance_base::001,12.083333333333334,725,3757,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:11.427138+00:00
41220,41220::hospital::003,41220::ambulance_base::002,34.6,2076,20414,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:11.834225+00:00
41220,41220::hospital::003,41220::ambulance_base::003,12.266666666666667,736,5520,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:12.148202+00:00
41220,41220::hospital::003,41220::ambulance_base::004,42.85,2571,35342,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:12.606182+00:00
41220,41220::hospital::003,41220::ambulance_base::005,3.933333333333333,236,754,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:12.917271+00:00
41220,41220::hospital::003,41220::ambulance_base::006,11.5,690,3007,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:13.241003+00:00
41220,41220::hospital::003,41220::ambulance_base::007,30.116666666666667,1807,11363,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:13.585263+00:00
41220,41220::hospital::003,41220::ambulance_base::008,18.183333333333334,1091,7072,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:13.909239+00:00
41220,41220::hospital::003,41220::ambulance_base::009,29.75,1785,13209,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:14.314355+00:00
41220,41220::hospital::003,41220::ambulance_base::010,33.78333333333333,2027,14553,Kakao Mobility Directions API,RECOMMEND,2026-09-10T01:48:14.728225+00:00
