municipality_code,origin_id,destination_id,duration_minutes,duration_seconds,distance_meters,routing_provider,routing_profile,collected_at,pair_set,reused_from
52110,52110::ambulance_base::003,52110::demand::5211167200,15.616666666666667,937,5132,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:34.971989+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211168000,16.05,963,5458,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:35.216237+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211169100,7.133333333333334,428,2364,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:35.408109+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211169200,9.066666666666666,544,2935,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:35.630284+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211170100,11.816666666666666,709,4002,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:35.869349+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211170200,12.0,720,4385,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:36.103690+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211170300,14.016666666666667,841,5275,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:36.359973+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211171100,8.916666666666666,535,2918,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:36.565425+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211171200,11.95,717,3844,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:36.775651+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211171300,14.05,843,4775,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:37.007392+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211171400,17.716666666666665,1063,5973,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:37.288747+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211173000,19.666666666666668,1180,6830,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:37.607107+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211352500,10.25,615,3344,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:37.815303+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211354000,13.0,780,4250,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:38.028342+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211355000,11.216666666666667,673,3840,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:38.246673+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211356000,10.033333333333333,602,3307,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:38.450217+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211357000,15.2,912,5204,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:38.750242+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211357500,10.883333333333333,653,3809,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:38.960379+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211360000,17.366666666666667,1042,6612,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:39.201566+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211361100,17.45,1047,6417,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:39.497922+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211361200,15.433333333333334,926,5139,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:39.727476+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211362000,20.333333333333332,1220,8203,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:39.981650+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211364100,17.283333333333335,1037,6462,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:40.240180+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211364200,21.35,1281,8000,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:40.507570+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211364300,24.133333333333333,1448,9275,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:40.821158+00:00,operations,
52110,52110::ambulance_base::003,52110::demand::5211365000,27.45,1647,10821,Kakao Mobility Directions API,RECOMMEND,2026-09-11T01:25:41.097640+00:00,operations,
