category_type,category_value,dispatches,share_of_all_rows_pct,share_of_recorded_rows_pct
relif_occurplc_type_raw,오락/문화시설(행궁파출소),3,0.0039,0.0051
relif_occurplc_type_raw,의료관련시설(한의원),3,0.0039,0.0051
relif_occurplc_type_raw,집단거주시설(고시원),3,0.0039,0.0051
relif_occurplc_type_raw,집단거주시설(영통종합요양센터),3,0.0039,0.0051
relif_occurplc_type_raw,기타(경비실),2,0.0026,0.0034
relif_occurplc_type_raw,기타(고등파출소),2,0.0026,0.0034
relif_occurplc_type_raw,기타(곡선지구대),2,0.0026,0.0034
relif_occurplc_type_raw,기타(골목길),2,0.0026,0.0034
relif_occurplc_type_raw,기타(공원 내),2,0.0026,0.0034
relif_occurplc_type_raw,기타(공중화장실),2,0.0026,0.0034
relif_occurplc_type_raw,기타(관공서),2,0.0026,0.0034
relif_occurplc_type_raw,기타(기차 내),2,0.0026,0.0034
relif_occurplc_type_raw,기타(남부경찰서 1층 형사과),2,0.0026,0.0034
relif_occurplc_type_raw,기타(노송지구대),2,0.0026,0.0034
relif_occurplc_type_raw,기타(노인정),2,0.0026,0.0034
relif_occurplc_type_raw,기타(동부파출소),2,0.0026,0.0034
relif_occurplc_type_raw,기타(버스내),2,0.0026,0.0034
relif_occurplc_type_raw,기타(북수원온천),2,0.0026,0.0034
relif_occurplc_type_raw,기타(사무실),2,0.0026,0.0034
relif_occurplc_type_raw,기타(사우나),2,0.0026,0.0034
relif_occurplc_type_raw,기타(수원남부소방서),2,0.0026,0.0034
relif_occurplc_type_raw,기타(수원서부경찰서),2,0.0026,0.0034
relif_occurplc_type_raw,기타(수원중부경찰서),2,0.0026,0.0034
relif_occurplc_type_raw,기타(연무지구대),2,0.0026,0.0034
relif_occurplc_type_raw,기타(연화장),2,0.0026,0.0034
relif_occurplc_type_raw,기타(원천119안전센터),2,0.0026,0.0034
relif_occurplc_type_raw,기타(인도),2,0.0026,0.0034
relif_occurplc_type_raw,기타(장안구청),2,0.0026,0.0034
relif_occurplc_type_raw,기타(지식산업센터),2,0.0026,0.0034
relif_occurplc_type_raw,기타(지하철 내),2,0.0026,0.0034
relif_occurplc_type_raw,기타(지하철 역사),2,0.0026,0.0034
relif_occurplc_type_raw,기타(팔달경찰서),2,0.0026,0.0034
relif_occurplc_type_raw,기타(호텔),2,0.0026,0.0034
relif_occurplc_type_raw,도로외교통지역( ),2,0.0026,0.0034
relif_occurplc_type_raw,도로외교통지역(버스정류장),2,0.0026,0.0034
relif_occurplc_type_raw,도로외교통지역(아파트 지하주차장),2,0.0026,0.0034
relif_occurplc_type_raw,상업시설(미용실),2,0.0026,0.0034
relif_occurplc_type_raw,상업시설(백두산사우나),2,0.0026,0.0034
relif_occurplc_type_raw,상업시설(사무실),2,0.0026,0.0034
relif_occurplc_type_raw,상업시설(스타벅스),2,0.0026,0.0034
